"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1417266_at",-11.0785433027061,11.6548450716586,-15.9657730446963,5.108279964948e-14,1.11861412242138e-12,19.9963569643362
"1443816_s_at",-9.64270547433355,8.91905577910512,-15.9600422229413,5.1476132461333e-14,1.1217818045076e-12,19.9907195138213
"1448363_at",-9.47244746656441,8.84641920961266,-15.9549960672403,5.18250794761178e-14,1.12223315879477e-12,19.9857532785674
"1436531_at",-10.5369760192951,11.122073222387,-15.952560243357,5.19943981795849e-14,1.12223315879477e-12,19.9833552633282
"1460262_a_at",-10.2950223191515,10.4838308923959,-15.9175935842659,5.44893749079399e-14,1.17048366766532e-12,19.9488760444646
"1439153_at",-10.6260116283194,10.178847762925,-15.8834637872235,5.70448116355746e-14,1.21956940894823e-12,19.915122055617
"1451201_s_at",-9.54547354844623,8.89304462555811,-15.8677676634494,5.826155796395e-14,1.23970701875179e-12,19.8995655196514
"1451462_a_at",-10.7986084173264,10.235557255207,-15.844162561635,6.01424202358614e-14,1.27372045861019e-12,19.8761308108754
"1418340_at",-13.2250248669495,11.9071133848015,-15.8074192318237,6.31966727252541e-14,1.32845260854528e-12,19.8395579906879
"AFFX-r2-Bs-dap-5_at",-9.8497851429021,10.7902513370446,-15.8060244288867,6.33157417063259e-14,1.32845260854528e-12,19.8381673834505
